Latitude,Longitude,Angle,Speed (km/h),HDOP,matched_way,match_dist_m,proj_lat,proj_lon
37.497083,127.028167,345.1,35.9,1.0,521766182,4.235861817402143,37.49706619040561,127.0281328630276
37.497167,127.02815,345.1,35.9,1.0,521766182,6.668959305881402,37.49714053490133,127.02809625460188
37.49725,127.028117,345.1,35.9,1.0,521766182,7.454979822463986,37.497220415657445,127.02805692003247
37.497333,127.028083,345.1,35.9,1.0,521766182,8.141131589374265,37.49730069273271,127.02801739030913
37.497433,127.02805,345.1,35.9,1.0,628232693,0.8578630262889156,37.49743677132688,127.02804327959552
37.497517,127.028033,345.1,35.9,1.0,628232693,5.3686419613915675,37.49749339844229,127.02807505734987
37.4976,127.028,1.6,18.0,1.0,914407834,4.930183526044096,37.49761235886831,127.02795747095318
37.49765,127.028,1.6,18.0,1.0,914407834,3.174054813924274,37.497661820625964,127.02797405279117
37.497683,127.028,22.6,18.0,1.0,914407834,1.6511022091486398,37.497689148936544,127.027986502598
37.497733,127.028017,22.6,18.0,1.0,914407834,1.0657505051797356,37.49773696900458,127.02800828772106
37.497767,127.02805,22.6,18.0,1.0,914407834,2.8396492315489934,37.497777575252606,127.02802678648418
37.497817,127.028067,29.9,18.0,1.0,914407834,1.5418243020538698,37.49782426757394,127.02805520952099
37.49785,127.0281,29.9,18.0,1.0,914407834,2.7414421549842865,37.49786292211671,127.02807903592768
37.4979,127.028117,29.9,18.0,1.0,914407834,0.5824237157842815,37.49790349540287,127.02811310696191
37.497933,127.02815,29.9,18.0,1.0,914407834,0.8616177413788797,37.49793817097956,127.0281442407725
37.497967,127.028183,44.8,18.0,1.0,914407834,1.0664406024420552,37.497973400219365,127.02817587169501
37.498,127.028217,44.8,18.0,1.0,914407834,1.0532924382905187,37.49800681198492,127.02821043316308
37.498033,127.028267,44.8,18.0,1.0,914407834,2.271530591412547,37.49804769072746,127.02825283795875
37.498067,127.0283,44.8,18.0,1.0,914407834,2.0962078832680637,37.49808055685846,127.02828693102236
37.4981,127.028333,69.3,18.0,1.0,975332778,0.8652172220541433,37.49810741412151,127.02833066759399
37.498117,127.0284,69.3,18.0,1.0,975332778,1.2982050810439452,37.49812812443208,127.02839650036863
37.498133,127.02845,69.3,18.0,1.0,975332778,1.2549670821395524,37.49814380544401,127.02844678528427
37.49815,127.0285,69.3,18.0,1.0,975332778,1.028281086829817,37.49815885364554,127.02849736596168
