Latitude,Longitude,Angle,Speed (km/h),HDOP,matched_way,match_dist_m,proj_lat,proj_lon
37.496717,127.028083,339.2,35.9,1.0,1229817205,0.34508908573779334,37.49671837296131,127.02808577935512
37.4968,127.028033,339.2,35.9,1.0,1229817205,1.2432683483653264,37.496804946430984,127.02804301331076
37.496883,127.028,339.2,35.9,1.0,1229817205,0.4447355987537903,37.496884769412006,127.02800358191035
37.496967,127.027967,339.2,35.9,1.0,1229817205,0.4031001639070066,37.49696539623751,127.02796375342237
37.49705,127.027917,339.2,35.9,1.0,1229817205,0.49507909872052486,37.49705196970718,127.02792098737801
37.497133,127.027883,349.9,33.3,1.0,1229817205,0.20170842603351619,37.49713219786575,127.0278813752497
37.497217,127.027867,330.2,39.8,1.0,1229817205,2.744127742160027,37.497206087422484,127.02784489620177
37.4973,127.0278,339.2,35.9,1.0,1229817205,0.14654785989712962,37.49729941722288,127.02779881956504
37.497383,127.027767,326.5,43.0,1.0,1229817205,0.9427808736097741,37.497379250841675,127.02775940595184
37.497467,127.027683,356.6,31.7,1.0,913949669,1.9923743962294491,37.49747988801477,127.02769541883741
37.49755,127.027683,339.2,35.9,1.0,521766174,0.5869450647598633,37.49754774820975,127.02767823243471
37.497633,127.027633,339.2,35.9,1.0,521766174,0.5007213459246632,37.49763488415479,127.02763708439552
37.497717,127.0276,59.8,410.2,1.0,521766174,0.08047307379747913,37.49771669718941,127.0275993435793
37.498233,127.028717,249.9,404.7,1.0,975332778,0.9392925950046975,37.49822491255796,127.02871940608595
37.497883,127.027517,324.1,43.2,1.0,472042765,0.51251409497636,37.49788502548084,127.02752113448666
37.497967,127.027433,359.5,32.4,1.0,304445274,0.5226521307948043,37.497971480159464,127.02743159586495
37.49805,127.027433,355.0,35.9,1.0,523141074,0.9275486780204008,37.49805349170732,127.02744056536585
37.49815,127.027433,312.3,50.7,1.0,523141074,3.8698790949910458,37.49813459977413,127.0274018337058
37.498233,127.027317,4.0,31.1,1.0,523141074,3.6139002797358084,37.498247381555394,127.02734610475407
37.4983,127.027317,339.2,35.9,1.0,523141074,0.30981771080307324,37.49830123292294,127.02731949513478
37.498383,127.027283,339.2,35.9,1.0,523141074,0.3900711915169108,37.49838144770746,127.02727985853919
37.498467,127.027233,339.2,35.9,1.0,523141074,0.48896366151815257,37.49846888404839,127.02723696782977
37.49855,127.0272,0.6,40.0,1.0,523141074,0.15571980410128738,37.49854939998885,127.02719873636893
37.49865,127.0272,316.4,37.8,1.0,523141074,4.811914221228805,37.49863228555382,127.02716057054033
37.498733,127.027117,326.8,42.8,1.0,523141074,0.1703248800930159,37.498732372970764,127.02711560433548
37.498817,127.027033,356.0,31.7,1.0,523141074,4.519892699019309,37.49883389656061,127.02706991998897
37.4989,127.027033,339.2,35.9,1.0,523141074,0.6749074919829603,37.49890252298364,127.02703851286918
37.498983,127.027,339.2,35.9,1.0,523141074,0.17028611828534718,37.498983636574785,127.02700139095373
37.499067,127.02695,339.2,35.9,1.0,523141074,1.3401331119961297,37.49907200977387,127.0269609466536
37.49915,127.026917,339.2,35.9,1.0,523141074,0.8355117382985167,37.49915312336501,127.02692382473815
